Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,196875,0.05,0.1,0.1,1575,1575,1.2,0,5,5,5,5,1,1,1,1,1,1
2,193736.8421,0.05,0.1,0.1,1550,1550,1.2,0,5,5,5,5,1,1,1,1,1,1
3,190598.6842,0.05,0.1,0.1,1525,1525,1.2,0,5,5,5,5,1,1,1,1,1,1
4,187460.5263,0.05,0.1,0.1,1500,1500,1.2,0,5,5,5,5,1,1,1,1,1,1
5,184322.3684,0.05,0.1,0.1,1475,1475,1.2,0,5,5,5,5,1,1,1,1,1,1
6,181184.2105,0.05,0.1,0.1,1449,1449,1.2,0,5,5,5,5,1,1,1,1,1,1
7,178046.0526,0.05,0.1,0.1,1424,1424,1.2,0,5,5,5,5,1,1,1,1,1,1
8,174907.8947,0.05,0.1,0.1,1399,1399,1.2,0,5,5,5,5,1,1,1,1,1,1
9,171769.7368,0.05,0.1,0.1,1374,1374,1.2,0,5,5,5,5,1,1,1,1,1,1
10,168631.5789,0.05,0.1,0.1,1349,1349,1.2,0,5,5,5,5,1,1,1,1,1,1
11,165493.4211,0.05,0.1,0.1,1324,1324,1.2,0,5,5,5,5,1,1,1,1,1,1
12,162355.2632,0.05,0.1,0.1,1299,1299,1.2,0,5,5,5,5,1,1,1,1,1,1
13,159217.1053,0.05,0.1,0.1,1274,1274,1.2,0,5,5,5,5,1,1,1,1,1,1
14,156078.9474,0.05,0.1,0.1,1249,1249,1.2,0,5,5,5,5,1,1,1,1,1,1
15,152940.7895,0.05,0.1,0.1,1224,1224,1.2,0,5,5,5,5,1,1,1,1,1,1
16,149802.6316,0.05,0.1,0.1,1198,1198,1.2,0,5,5,5,5,1,1,1,1,1,1
17,146664.4737,0.05,0.1,0.1,1173,1173,1.2,0,5,5,5,5,1,1,1,1,1,1
18,143526.3158,0.05,0.1,0.1,1148,1148,1.2,0,5,5,5,5,1,1,1,1,1,1
19,140388.1579,0.05,0.1,0.1,1123,1123,1.2,0,5,5,5,5,1,1,1,1,1,1
20,137250,0.05,0.1,0.1,1098,1098,1.2,0,5,5,5,5,1,1,1,1,1,1
21,19875,0.05,0.1,0.1,159,159,1.2,0,5,5,5,5,1,1,1,1,1,1
